NOME,ARTISTA,GENERO,ALBUM,ANO LANCAMENTO
That's Who I Praise,Brandon Lake,Gospel,That's Who I Praise,2024
in the end,linkin park,rock,Hybrid Theory,2000
amiga da minha mullher,seu jorge,samba e pagode,musica para churrasco,2011
tempo perdido,legiao urbana,mpb,dois,1986
o calhambeque,roberto carlos,mpb,Proibido Fumar,1964
Gangsta's Paradise,Coolio,rap,ganstar paradise,1995
plutao,vmz,pop,plutao,2021
Crazy,gnarls barkley,Blues rock,St. Elsewhere,2006
Mas existe um lugar,cryzin,funk,mas existe um lugar,2023
deixe me ir,baviera e knust,rap,acustico 1 kil,2017
nocaute,jorge e mateus,sentanejo,os anjos cantam,2015
Voce Chegou,barbatuques,tum pa,mpb,2015
Vagalumes,pollo e ivo,rap,Por Ai,2012
e tudo sobre voce,morada,gospel,Ao Vivo em Sao Jose dos Campos,2015
Believer,imagine dragons,pop rock,Evolve,2017
talking to the moon,bruno mars,pop,doo wops,2010
eu tenho medo,ze vaqueiro,forro,arrocha,2020
ela partiu,tim maia,mpb,Ela Partiu,1977
linda demais,roupa nova,mpb,roupa nova,1985
Era Um Garoto Que Como Eu Amava Os Beatles E Os Rolling Stones,engenheiro do havai,rock,Varias Variaveis,1990
The Pretender,Foo Fighters,Hard rock,Echoes# Silence# Patience & Grace,2007
The Teacher,Foo Fighters,Alt rock,But Here We Are,2023
February Stars,Foo Fighters,Hard rock,The Colour and the Shape,1997
Another Light,Red Vox,Alt/Indie,Another Light,2017
Almost a Stranger,Red Vox,Alt/Indie,Afterthoughts,2024
Remember,Red Vox,Alt/Indie,Single,2024
A/V,Red Vox,Alt/Indie,Single,2025
bedroom community,glass beach,Alt/Indie,the first glass beach album,2019
the CIA,glass beach,Alt/Indie,Plastic Death,2024
The Air Up Here,Origami Angel,Rock,Somewhere City,2019
HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,DAMN.,2017
peekaboo,Kendrick Lamar,Hip-Hop/Rap,GNX,2024
Falling Endlessly,WILLOW,Rock,Coping Mechanism,2022
Abstract Figures in the Dark,Tigercub,Alt/Indie,Abstract Figures in the Dark,2016
Caring is Creepy,The Shins,Alt/Indie,Oh# Inverted World,2001
Heart-Shaped Box,Nirvana,Grunge/Alt/Indie,In Utero,1993
Tonight# Tonight,The Smashing Pumpkins,Alt/Indie,Mellon Collie and the Infinite Sadness,1995
Bodys,Car Seat Headrest,Alt/Indie,Twin Fantasy,2011
Creep,Radiohead,Alt/Indie,Pablo Honey,1993
Prefiro Morrer,YUNG LIXO,Hip-Hop/Rap,Bittersweet Memories,2023
Lost in Translation,YUNX LIXO,Hip-Hop/Rap,13 Lentes de um Final Feliz,2024
Reptilia,The Strokes,Indie rock,Room on Fire,2003
Ride on shooting star,the pillows,Japanese Rock,Single,2000
bloom,Necry Talkie,Japanese Rock,TORCH,2024
Breathless,X,Alt/Indie,Single,1983
Blurt,Mega Mango,Alt/Indie,Single,2023
NEW MAGIC WAND,Tyler# the Creator,Hip-Hop/Alt/Rap,IGOR,2019
ABC,Polyphia,Metal/Rock,Remember That You Will Die,2022
all honesty,nelward,Alt/Indie,single,2024
Machine Love,Jamie Paige,idkthegenre,Constant Companions,2024
St. Chroma,Tyler# the Creator,Hip-Hop/Rap,Chromakopia,2024
The Emptiness Machine,Linkin Park,Alt/Indie,From Zero,2024
chase,batta,Rock,プレリュード,2018
Lonely Valentine,jomm,Pop,Single,2023
Ramen Waitress,High Sunn,Alt/Indie,Hopeless Romantic,2017
Marvin,Titãs,Gênero,Titanomaquia,2004
Você não me ensinou a Te esquecer,Fernando Mendes,Sertanejo,Fernando Mendes,1982
Mega Sena,Pablo,Sertanejo,Pablo 3,1997
Mistérios da Meia-Noite,Zé Ramalho,BPB/Rock,Zé Ramalho,1981
A vida tem dessas coisas,Ritchie,Pop/Rock,Ritchie,1983
Infinita Highway,Humberto Gessinger,Rock Brasileiro,O papa é pop,1990
Camila Camila,Nenhum de Nós,Rock Brasileiro,Nenhum de nós,1988
Poema,Ney Matogrosso,MPB,Cavalo de Pau,1982
O tempo não para,Cazuza,Rock Brasileiro,O tempo não para,1988
Garoto de Aluguel,Zé Ramalho,MPB,Cavalo de Pau,1982
Chão de giz,Zé Ramalho,MPB,Chão de giz,1981
Dormi na praça,Bruno e Marrone,Sertanejo,Bruno e Marrone,1996
Acima do Sol,Skank,Rock/Pop,Calango,1994
Segundo Sol,Cássia Eller,Rock Brasileiro,Cássia Eller,1999
Malandragem,Cássia Eller,Rock Brasileiro,Cássia Eller,1999
Menina Veneno,Ritchie,Pop,Ritchie,1983
Exagerado,Cazuza,Rock Brasileiro,Cazuza,1989
